"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"G9PPQJPX","book","1969","Díaz Sánchez, Ramón","Cumboto","","978-0-292-78406-2","","","","","1969","2025-04-10 19:30:02","2025-04-10 19:30:02","","","","","","","","","tr","","","","University of Texas Press","Texas, EEUU","eng","","","","","https://www.worldcat.org/title/cumboto/oclc/1131228305&referer=brief_results","","Translators: _:n2397 Venezuela","<div data-schema-version=""8""><p>I imagined thousands of fantastic things, and my nights were filled with erotic visions. There she was, not in the city but in the deep jungle, writing and gleaming at the center of a group of naked Negroes. She was dancing to the beat of the deep drums, whose music took on Beethoven’s rich harmony and yet retained all their telluric vigor. I knew that this was a strange and absurd synthesis, and yet in my dream I heard it happen. It was like a monstrous hybrid--of a dolphin or an albatross and a panther, say. It was so powerful that I was swept up in a kind of whirlwind, and I twisted and vibrated like a bow when its strings snaps. This was the goal toward which the uncontrollable, fiery cataract of my life was rushing. The dream reoccurred many times; it was the work of a clever succubus who came to my cot regularly to conduct her oneiric concert.</p> </div>","/home/febres/Zotero/storage/T2HACDB9/cumboto-eng.jpg","","","","","","Upton, John","","","","","","","","","","","","","","","","","1969","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R4H2INMT","book","2010","Albújar, Enrique López","Cuentos andinos","","","","","https://biblioteca.agustinos.pe/opac_css/doc_num.php?explnum_id=2139","","2010","2025-04-10 20:00:11","2025-07-10 14:26:16","","","","","","","","","","","","","Peisa","Lima","spa","","","Epub Libre","http://epublibre.org","https://www.worldcat.org/title/cuentos-andinos/oclc/1187071622&referer=brief_results","","Perú","<div data-schema-version=""8""><p>Se diría que el indio gozaba con esta vida de inquietud y peligro, que su naturaleza fuerte y bravía necesitaba de estas persecuciones violentas, en las que, mientras sus perseguidores desplegaban toda la habilidad de un cazador apasionado, él desplegaba toda la ferocidad del tigre y toda la astucia del zorro. De aquí que la persecución se convirtiese en una especie de duelo a muerte, en el que, más que la vida misma, lo que más se temía perder era el triunfo. Y cada fracaso era un reclamo más para el bandolero, cuya triste celebridad agrandábase hasta circundar su figura de una aureola romántica.</p> </div>","/home/febres/Zotero/storage/9AGYFB2B/enrique-lopez-albujar-cuentos-andinos.jpg","","","","","","","","","","","","","","","","","","","","","","","1924","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F6YQEDXC","book","1954","Bass, Nelson Estupiñán","Cuando los guayacanes florecían","","","","","","","1954","2025-04-10 20:00:11","2025-07-10 14:26:20","","","","","","","","","","","","","Casa de la Cultura Ecuatoriana","Quito","spa","","","","","https://www.worldcat.org/title/cuando-los-guayacanes-florecian/oclc/253770281?referer=di&ht=edition","","Ecuador","<div data-schema-version=""8""><p>En una esquina del dormitorio, con la cabeza entre las manos, sentado al borde de su cama de madera, y retardado en el arreglo de su equipo, Gabriel Simbaña, indio metido a soldado de línea por el afán de salir de su aldea de la Sierra y no vivir la vida miserable de los otros, lloraba desconsoladamente. Recordaba que se había enrolado en el ejército, porque no quiso seguir la suerte de su padre, envejecido en la hacienda, casi desnudo y sin alcanzar a pagar jamás la cuenta al patrón. Recordaba el dolor que había sentido, --ah, cómo iba a poder olvidarlo!,-- cuando había visto que el látigo inclemente del patrón abría surcos de sangre en la espalda agobiada del viejo, aquel día que el mayordomo descubrió que su padre se había hurtado un saco de maíz. Fue en ese invierno duro y penoso, en que el hambre parecía haberse puesto de acuerdo con el patrón para hacer más amarga la vida de los indios. Recordaba ese loco anhelo de venir a la Costa, de vivir en una &nbsp;tierra distante, a donde no pudiera llegar el látigo ensangrentado del patrón.</p> </div>","/home/febres/Zotero/storage/AWJ2SYTL/guacayanes.jpg","","","","","","","","","","","","","","","","","","","","","","","1954","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7HI9EKKM","book","1966","Arozarena, Marcelino","Cancion negra sin color","","","","","","","1966","2025-04-10 20:00:11","2025-04-10 20:00:11","","","","","","","","","","","","","Cuadernos Unión","La Habana","spa","","","","","https://www.worldcat.org/title/cancion-negra-sin-color/oclc/778125076&referer=brief_results","","Cuba","<div data-schema-version=""8""><p>El fandango</p> <p>de gran rango,</p> <p>que anda en grillo</p> <p>por el trillo tartamudo de vegetal castañuela</p> <p>--eco en fleco;</p> <p> &nbsp; cruz y espuela--</p> <p>es la rumba rimbombante que brina con desespero</p> <p>en los ceros majaderos del bongo.</p> <p></p> <p>Pacatá.</p> <p>Tacatá.</p> <p>Pacatacatacatá.</p> <p>¡Olé! ¡Alsá!</p> </div>","/home/febres/Zotero/storage/QHAWIPPF/color.jpg","","","","","","","","","","","","","","","","","","","","","","","1966","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V4C4SDLD","book","1995","Cartagena Portalatón, Aída","Yania tierra: poema documento = document poem","","978-0-9632363-9-5","","","","","1995","2025-04-10 21:53:54","2025-04-10 21:53:54","","","","","","","","Yania tierra","tr","","","","Azul","Washington, D.C.","spa;eng","","","","","https://www.worldcat.org/title/yania-tierra-poema-documento-document-poem/oclc/813737080&referer=brief_results","","Translators: _:n2278 República Dominicana","<div data-schema-version=""8""><p>CIERTO / Perdí el viejo juego de los versos</p> <p>Deseo conversar de otra manera</p> <p style=""padding-left: 40px"" data-indent=""1"">cuando la Zarza Ardiente</p> <p>Se quebranta bajo continuos aguaceros</p> <p>Con todo el dolor de una muerte</p> <p style=""padding-left: 40px"" data-indent=""1"">concebida</p> <p>Quién sería como Dios en la tierra</p> <p>Para soportar tanto silencio</p> <p>Si los testigos de estas letras nuevas</p> <p>Desean secuestrar la libertad de la palabra</p> <p style=""padding-left: 40px"" data-indent=""1"">Cotidiana</p> <p>Que traspasa tu cuerpo Yania Tierra</p> <p>***</p> <p>Traspasada / llegaría / llegó de repente</p> <p>La muerte desnuda / sin la ropa</p> <p>¡Qué noche calurosa!</p> </div>","/home/febres/Zotero/storage/HYAK9Z43/yania-tierra.jpg","","","","","","Fenwick, M. J.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GBRLXGPX","book","2010","Artel, Jorge","Tambores en la noche","","","","","https://ia904609.us.archive.org/7/items/tambores-en-la-noche/Tambores%20en%20la%20noche.pdf","","2010","2025-04-10 21:53:54","2025-04-10 21:53:54","","","","","","","","","","","","","Ministerio de Cultura","Bogotá","spa","","","Biblioteca Básica de Cultura Colombiana","https://siise.bibliotecanacional.gov.co/BBCC/Home/Index/1","https://www.worldcat.org/title/tambores-en-la-noche/oclc/1019679793&referer=brief_results","","Colombia","<div data-schema-version=""8""><p>Un tono cálido</p> <p>amasado de gritos y de sol.</p> <p>Una estrofa negra,</p> <p>borracha de gaitas vagabundas </p> <p>y golpes dementes de tambor…</p> <p> </p> <p>Un oleaje frenético</p> <p>erizado de calor. Una playa foeteada</p> <p>como espaldas morenas,</p> <p>por las fustas ardientes,</p> <p>y un pedazo de mar —hermano mayor</p> <p>que me enseñó a ser rebelde—</p> <p>me dieron la canción.</p> <p> </p> <p>Se irguió alegre y turbulenta</p> <p>como una jacaranda de jazz band.</p> <p>Colgó de las aspas del faro,</p> <p> —molino de luz—</p> <p> y de las luces del puerto,</p> <p> indecisos cocuyos de tembloroso azul.</p> </div>","/home/febres/Zotero/storage/IH2BBYRW/tambores-en-la-noche-jorge-artel.jpg","","","","","","","","","","","","","","","","","","","","","","","1940","","","","","","","","","","","","","","","","","","","","","","","","","",""
"STYK4JHM","book","1999","Chiriboga, Luz Argentina","Tambores bajo mi piel","","978-9978-60-027-6","","","","","1999","2025-04-10 21:53:54","2025-04-10 21:53:54","","","","","","","","","","","","","Instituto Andino de Artes Populares","Quito","spa","","","","","https://www.worldcat.org/title/tambores-bajo-mi-piel-novela/oclc/53049354&referer=brief_results","","Ecuador","<div data-schema-version=""8""><p>Mi acento costeño atrajo la atención de mujeres, adormitadas en los asientos, que disimularon su curiosidad fingiendo arreglar algunos paquetes. A esa hora, todo, agotamiento general, convidaba al sueño. Al estar sola miedos imaginarios me llenaron la mente, por qué Dios había perdido, en ese instante, su poder creador de vida y movimiento. Volvió la voz de mamá con su Pórtate bien, que se transformó en dudas, sospechas, presagios y, más preciso, en temores. En la puerta de la agencia de transporte un hombre de blue jean esperaba la partida del bus que nos conduciría a Quito. Su gorra retuvo mis miradas, las botas lo evidenciaban llegado de lejos. Sin que pudiera verle el rostro se acercó al grabado de un paisaje andino adherido a la pared. Por el frío hundió las manos en los bolsillos de su chompa.</p> </div>","/home/febres/Zotero/storage/IBM6YMEM/tambores.jpg","","","","","","","","","","","","","","","","","","","","","","","1991","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PVY95TKZ","book","2014","Bustos Aguirre, Rómulo; Santos García, Emiro","Rómulo Bustos Aguirre poesía escogida","","","","","https://ia804601.us.archive.org/15/items/poesia-escogida-romulo-bustos-aguirre_202111/Poes%C3%ADa%20escogida%20-%20R%C3%B3mulo%20Bustos%20Aguirre.pdf","","2014","2025-04-10 21:53:54","2025-04-10 21:53:54","","","","","","","","","","","","","Banco de la República de Colombia","Bogotá","spa","","","Biblioteca Virtual del Banco de la República","https://babel.banrepcultural.org/","https://www.worldcat.org/title/romulo-bustos-aguirre-poesia-escogida/oclc/931955597&referer=brief_results","","Colombia","<div data-schema-version=""8""><p>El mundo es siempre sí y no</p> <p>Sino lúdico. Incongruencia. Humor cósmico</p> <p> Por ejemplo ahora voy a enrollar este texto</p> <p>que aún no es texto</p> <p>Lo voy a enrollar sobre sí mismo</p> <p>Sobre su sí</p> <p>Sobre su no </p> <p>Sobre su sino</p> <p>Sobre su si no</p> <p>Lo voy a enrollar sobre su signo</p> <p>Para que tú</p> <p>lo desenrrolles en su espejeante gnosi(s)</p> </div>","/home/febres/Zotero/storage/QRMK63LU/poesia-escogida-romulo-bustos.jpg","","","","","","","Santos García, Emiro","","","","","","","","","","","","","","","","2014","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R7UZNF7C","book","1996","Bernard, Eulalia","Ritmohéroe","","978-9977-23-647-6","","","","","1996","2025-04-10 21:53:54","2025-04-10 21:53:54","","","","","","","","","","","","","Editorial Costa Rica","San José, Costa Rica","spa","","","","","https://www.worldcat.org/title/ritmoheroe/oclc/41378562&referer=brief_results","","Costa Rica","<div data-schema-version=""8""><p>El Carnaval,</p> <p>vamos, veamos los negros brincar,</p> <p>que trabajo no les vamos a dar.</p> <p></p> <p>El Carnaval,</p> <p>siéntete rey o reina del mar,</p> <p>negro!, es tu única oportunidad.</p> <p></p> <p>El Carnaval,</p> <p>Suda, embriaga, vomita tus penas,</p> <p>arrastra con ritmo tus cadenas,</p> <p>burla tres días de duras faenas.</p> <p></p> <p>El Carnaval</p> <p>desfigúrate, haz gozar,</p> <p>que en Semana Santa</p> <p>la cruz vas a llevar.</p> </div>","/home/febres/Zotero/storage/2QUPETW9/ritmoheroe.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5YK9HYMT","book","1952","Brindis de Salas, Virginia","Pregón de marimorena (poemas)","","","","","https://ia804609.us.archive.org/14/items/pregon-de-marimorena-virginia-brindis-de-salas_202111/Pregon%20De%20Marimorena%20-%20Virginia%20Brindis%20de%20Salas.pdf","","1952","2025-04-10 21:53:54","2025-04-10 21:53:54","","","","","","","","","","","","","Sociedad Cultural Editora Indoamericana","Montevideo","spa","","","Autores UY","https://archive.org/details/autores","https://www.worldcat.org/title/pregon-de-marimorena-poemas/oclc/5363257?referer=br&ht=edition","","Uruguay","<div data-schema-version=""8""><p>La hora ciega a los otros</p> <p>que viven del otro lado.</p> <p>Amigo, quítate la venda</p> <p>quítate la venda</p> <p>que a ti te ciega en este,</p> <p>quítate la venda.</p> <p> </p> <p>Es hora de dejar libres</p> <p>pasiones y ocios mentales.</p> <p>Amigo bulle mi sangre</p> <p>mientras la tuya se estanca;</p> <p>quítate la venda, quítate.</p> <p> </p> <p>La hora sangró la tierra,</p> <p>fortalece una simiente;</p> <p>¿qué cosecharán tus manos,</p> <p>tus dos manos bien inertes?</p> </div>","/home/febres/Zotero/storage/RZ3GNZLP/pregon_marimorena_virginia_brindis_Morel.jpg","","","","","","","","","","","","","","","","","","","","","","","1946","","","","","","","","","","","","","","","","","","","","","","","","","",""
